name,address,type
th095::ReplayBrowserExitSignal::Request,0x0041BB00,function
th095::ReplayBrowserView::Update,0x0044DCA0,function
th095::LoadReplayBrowserEntries,0x00450C30,function
th095::ReplayBrowserView::LoadReplaySlot,0x00450E20,function
th095::ReplayScanWorker::~ReplayScanWorker,0x0041BAE0,function
th095::ReplayScanWorker::Stop,0x0041BB20,function
th095::ReplayScanWorker::Start,0x0041BBA0,function
th095::SceneSupervisorView::StartReplayScan,0x004255B0,function
th095::SceneSupervisorView::StopReplayScan,0x00425640,function
th095::OptionsMenuView::Update,0x0044E4B0,function
th095::Controller::GetJoystickCaps,0x004193A0,function
th095::Controller::GetControllerInput,0x00419410,function
th095::Controller::SetButtonFromDirectInputJoystate,0x00419820,function
th095::Controller::SetButtonFromControllerInputs,0x004198A0,function
th095::Controller::GetControllerState,0x00419910,function
th095::Controller::GetInput,0x00419AE0,function
th095::Controller::ResetKeyboard,0x0041A550,function
th095::FileSystem::Decrypt,0x0041A5C0,function
th095::FileSystem::Encrypt,0x0041A790,function
th095::FileSystem::OpenFile,0x0041A960,function
th095::FileSystem::CheckIfFileAlreadyExists,0x0041ABA0,function
th095::SceneValueQueue::Pop,0x00450F60,function
th095::MusicRoomView::UpdateMusicRoom,0x00450FC0,function
th095::SkipMusicCommentLine,0x00451B00,function
th095::ReadMusicCommentLine,0x00451B90,function
th095::HelpMenuView::UpdateHelpMenu,0x00451C80,function
th095::LoadHelpAnm,0x004525D0,function
th095::SceneSelectControllerView::OnUpdate,0x00445E40,function
th095::SceneSelectControllerView::OnDraw,0x00445E60,function
th095::SceneSelectControllerView::Update,0x00445E80,function
th095::SceneSelectControllerView::Draw,0x00452630,function
th095::SceneSelectControllerView::UpdateMainMenu,0x00446A50,function
th095::SceneSelectControllerView::CloseMainMenu,0x00447750,function
th095::SceneSelectControllerView::UpdateMainMenuSelection,0x004479E0,function
th095::SceneSelectControllerView::UpdateSceneSelect,0x00447D00,function
