address,origin,subsystem,disposition,confidence,evidence_id
0x004153D0,authored,EnemyManager,authored,exact,vc71-photo-enemy-resource-load-2026-08-30
0x004154E0,authored,EnemyManager,authored,high,photo-enemy-manager-destructor-semantic-2026-08-30
0x004156C0,authored,EnemyManager,authored,exact,vc71-photo-enemy-spawn-2026-08-30
0x00415820,authored,EnemyManager,authored,exact,vc71-photo-enemy-spawn-context-2026-08-30
0x00415970,authored,EnemyManager,authored,high,photo-enemy-manager-update-semantic-2026-08-30
0x004160B0,authored,EnemyManager,authored,exact,vc71-photo-enemy-runtime-2026-08-30
0x004161F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00416230,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00416290,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004162F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00416320,authored,EnemyManager,authored,exact,vc71-photo-enemy-runtime-2026-08-30
0x004163F0,authored,EnemyManager,authored,high,photo-enemy-timeline-semantic-2026-08-30
0x00416770,authored,EnemyManager,authored,exact,vc71-photo-enemy-runtime-2026-08-30
0x004167E0,authored,EnemyManager,authored,exact,vc71-photo-enemy-ecl-reset-2026-08-30
0x00416810,authored,EnemyManager,authored,exact,vc71-photo-enemy-ecl-reset-2026-08-30
0x004168D0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00416DD0,authored,EnemyManager,authored,exact,vc71-photo-enemy-ecl-reset-2026-08-30
0x00416E30,authored,EnemyManager,authored,exact,vc71-photo-enemy-ecl-reset-2026-08-30
0x00416E80,authored,EnemyManager,authored,exact,vc71-photo-enemy-runtime-2026-08-30
0x00416F30,authored,EnemyManager,authored,high,photo-enemy-scheduled-ecl-semantic-2026-08-30
0x00417070,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004170F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417300,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417340,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417360,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417410,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417550,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004175B0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417920,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417970,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004179A0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004179D0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417A70,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417D20,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417E70,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00417F80,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004180A0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00418100,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00418420,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00418690,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004186B0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004186D0,authored,GameCoordinates,authored,exact,vc71-photo-to-screen-2026-08-30
0x00418720,authored,Main,authored,high,target-config-initialize-2026-08-29
0x00418900,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x00418970,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x004189D0,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x00418A20,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x00418B30,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x00418C40,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x00418DA0,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x00418F00,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x00419080,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x004190B0,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x00419160,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x004191D0,authored,Chain,authored,exact,vc71-chain-runtime-2026-08-30
0x004193A0,authored,Controller,authored,exact,vc71-controller-input-2026-08-29
0x00419410,authored,Controller,authored,exact,vc71-controller-input-2026-08-29
0x00419820,authored,Controller,authored,exact,vc71-controller-input-2026-08-29
0x004198A0,authored,Controller,authored,exact,vc71-controller-input-2026-08-29
0x00419910,authored,Controller,authored,exact,vc71-controller-input-2026-08-29
0x00419AE0,authored,Controller,authored,high,ghidra-vc71-controller-input-2026-08-29
0x0041A550,authored,Controller,authored,exact,vc71-controller-reset-keyboard-2026-08-29
0x0041A5C0,authored,FileSystem,authored,exact,vc71-file-system-crypto-2026-08-29
0x0041A790,authored,FileSystem,authored,exact,vc71-file-system-crypto-2026-08-29
0x0041A960,authored,FileSystem,authored,exact,vc71-file-system-open-2026-08-29
0x0041ABA0,authored,FileSystem,authored,exact,vc71-file-system-open-2026-08-29
0x0041AC50,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0041ADC0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0041AEA0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0041AF80,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0041B020,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0041B090,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0041B0F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x0041B280,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
